date,stock_code,industry,weight_pct,asset_value,type_asset
2026-08-07,VHM,Bất động sản,5.74,50590960000,STOCK
2026-08-07,MWG,Bán lẻ,5.67,49894620000,STOCK
2026-08-07,BID,Ngân hàng,5.31,46740000000,STOCK
2026-08-07,ACB,Ngân hàng,4.14,36447819600,STOCK
2026-08-07,HPG,Vật liệu xây dựng,3.84,33828781000,STOCK
2026-08-07,VCB,Ngân hàng,3.73,32828480000,STOCK
2026-08-07,VPB,Ngân hàng,3.72,32733520000,STOCK
2026-08-07,STB,Ngân hàng,2.78,24527200000,STOCK
2026-08-07,HDB,Ngân hàng,2.54,22350484800,STOCK
2026-08-07,TCB,Ngân hàng,2.48,21799350000,STOCK
