date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,VIC,Bất động sản,13.49,16828260000,STOCK
2026-07-01,VHM,Bất động sản,9.85,12292300000,STOCK
2026-07-01,VCB,Ngân hàng,5.7,7116000000,STOCK
2026-07-01,VPB,Ngân hàng,3.97,4960000000,STOCK
2026-07-01,CTG,Ngân hàng,3.7,4620000000,STOCK
2026-07-01,MBB,Ngân hàng,3.66,4567500000,STOCK
2026-07-01,TCB,Ngân hàng,3.41,4255650000,STOCK
2026-07-01,TCX,Chứng khoán,3.27,4083600000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,3.06,3819200000,STOCK
2026-07-01,STB,Ngân hàng,3.06,3814550000,STOCK
