date,stock_code,industry,weight_pct,asset_value,type_asset
2026-08-07,HPG,Vật liệu xây dựng,9.99,208430930400,STOCK
2026-08-07,VCB,Ngân hàng,7.42,154711921000,STOCK
2026-08-07,MBB,Ngân hàng,6.38,133064775000,STOCK
2026-08-07,CTG,Ngân hàng,6.09,127061704000,STOCK
2026-08-07,ACB,Ngân hàng,5.59,116679696000,STOCK
2026-08-07,TCB,Ngân hàng,4.33,90241492500,STOCK
2026-08-07,TCX,Chứng khoán,4.13,86086880000,STOCK
2026-08-07,FPT,Công nghệ và thông tin,4.01,83557617000,STOCK
2026-08-07,MWG,Bán lẻ,3.82,79646856000,STOCK
2026-08-07,REE,Thiết bị điện,3.74,78070710000,STOCK
